"00","00",,"0000",,,"1376046000","Ben Hannigan","The redwoods here grow to over 500 feet, and over 60 feet in diameter at their bases. Due to traces of Pandemonium in the soil, no blade can cut the wood, and fire merely makes the bark laugh. Casting Stone to Flesh will (1d4) 1: Allow cutting as a normal redwood; 2-4: reflect the spell back on the caster as Petrification. Passwall, if cast on a trunk, will create a dimensional portal to another world, or dimension (each tree goes to a different world.). Using the wood from a tree to fashion a door, and then casting Petrification on it will allow it to be used as a similar portal when set in a door-frame.",,
"00","01",,"0001",,,"1375756679","Reynaldo Madriñan","The hills are a live - no, seriously. Wayward travellers have 50% chance of being swallowed by mouths that appear on the surface, and only a save versus breath weapon/reflexes will spare them. Failure means they descend towards the digestive juices in side the hills, which disolve instantly.",,
"00","02",,"0002",,,"1375756741","Jez Gordon","The snow-crusted hills here leak and seep with a strange bloodly-mudded discharge.",,
"00","03",,"0003",,,"1375756917","Erik Jensen","A family of seven triclopsian ogrekin, led by their diabolist witch-matriarch, graze their herd of malpacas along the ridge; they do not care for visitors, and will hurl frozen dung-balls down on those who dare traverse the ravines.",,
"00","04",,"0004",,,"1375757760","Jez Gordon","The northern boundary of the nearby barbarian tribes, staked out with a winding wall of macabre wicker-things and rotting dismemberments. The ogrekin to the north have assumed the tasty morsels are offerings and do not stray past the boundary. Usually.",,
"00","05",,"0005",,,"1375758175","Jez Gordon","The surrounding cliffs of this glacial valley afford some protection and shelter, and the barbarians who camp nearby are know to let their war-caribou graze in the leafy glades and meadows.",,
"00","06",,"0006",,"MOUNT BRUNO","1375759383","Michael Currie","[[MOUNT BRUNO]], a shrine at the summit will greatly improve your comeliness for 24hours providing a sufficient amount of human hair is offered in the sacred Blerta everflame",,
"00","07",,"0007",,,"1375760004","Reece Carter","This mountain has a constant cold breeze blowing through it, it is rumored that an air elemental has been imprisoned here by a powerfull weather sorcerer",,
"00","08",,"0008",,,"1375764401","David Rollins","There is a cave network in this mountain that houses a clan of kobolds who worship a power-armoured space marine in an ancient stasis pod as a god.",,
"00","09",,"0009",,,"1375765256","Trent B","17 Bandits, exiled criminals from [[KALTVAL]] ([[1508]]), camp in a small cave network, hidden in a forested a valley. Currently hold D3 prisoners, and are debating cannibalism, ransom and/or sacrifice.",,
"00","10",,"0010",,,"1375766299","Mak H","The feathers of the great eagles whose aeries dot these high peaks are of immense spiritual value to the barbarians, but only if taken from a living bird. Somehow, the barbarian shamans can tell the difference...",,
"00","11",,"0011",,,"1375767979","Mak H","A party of 3d6 dwarves from [[GEARING]] prospects for Pandemonium in these hills. One of them is a doppelgänger who is anxious to get away from his unwitting hosts and will see any incautious passersby as likely targets.",,
"00","12",,"0012",,"MOUNT LURUN","1375768530","Ben Djarum","[[MOUNT LURUN]] - a tall, long-dead cinder cone. A thick mantle of snow covers its slopes, but in caverns deep within, hot springs bubble away. Mistress Alara operates a bathhouse and sauna in a longhouse at the base of the mountain. Baths are 10 coppers per hour alone, or 50 coppers per hour with one of Alara's professional bath-givers.",,
"00","13",,"0013",,,"1375775141","Reece Carter","A nice long river can be found in this area, it is quite serene on its banks and the water in it never freezes. This is because the water has a much higher salt content then any of the closest oceans",,
"00","14",,"0014",,,"1375778318","Pearce Shea","",,
"00","16",,"0016",,,"1375786432","matt jackson","Many feel this barren wasteland of rocky sand would be unable to sustain life. However, just beneath the sand, a community of halflings have taken root. Surviving off of their farming of lichen and underground feral sand worms, the halflings have created a thriving community of about 400 souls.",,
"00","17",,"0017",,,"1375787518","Brock Cusick","A band of Ice Lizardmen believe the thermal vent near this mountain's peak will give their priests oracular powers if they can breathe in the fumes. A herd of Yak-men control the heights however and roll giant snowballs down on anyone they see trying to ascend.",,
"00","18",,"0018",,"MOUNT SLYZZMERAKKA","1375788058","Brock Cusick","[[MOUNT SLYZZMERAKKA]] is a holy place for the Ice Lizardmen of the region. Three temples (to the gods of Prey, Storms and Afterlife) are neutral territory for the tribes in the region. Apostates and non-Lizardmen who trespass into the temples will be hunted relentlessly.",,
"00","19",,"0019",,,"1375791046","Jensan Thuresson","Actually a frozen wave (size of mountain). The water god that summoned it is said to be sleeping inside.",,
"00","20",,"0020",,,"1375796756","Nadav Ben Dov","The peak of this mountain holds a small flower that grows only at this particular place. It is said that the fragrance of the flower could drive any creature to madness.",,
"01","00",,"0100",,,"1375798150","Craig Brasco","The edge of this forested valley is very dense and ends abruptly at the face of the mountain. It is said strange wolf-men hide in the shadows of the trees. The supple wood of the steelepines here are treasured by bowyers.",,
"01","01",,"0101",,"MOUNT TRACHURUS","1375798435","Ben Djarum","[[MOUNT TRACHURUS]] This rocky crag is home to a tribe of berserkers and their specially trained, armored black bears.",,
"01","02",,"0102",,,"1375801007","Joey Lindsey","The bloody-mudded discharge from [[0002]] collects in a valley between those hills and a snow-capped mountain. Florescent fungus grows where the snow runoff meets the blood-mud, and occasionally forms creatures shaped like bad memories of men or beasts, wailing in pain or stalking travelers with a low mad cunning.",,
"01","03",,"0103",,,"1375801623","Joey Lindsey","Travelers emerge from here with no memory of passage but repetitive swaying plants. Once clear, they will notice strange wounds and possessions gone, rearranged, in a companion's pack, or replaced with odd items of unknown purpose. The Barbarians from [[0004]] and [[0104]] send youths into this area as a coming of age rite.",,
"01","04",,"0104",,"GRIMMROBE VILLAGE","1375837605","Ben Djarum","[[GRIMMROBE VILLAGE]] - Home of the Barbarian Tribe of Korelath. 400 barbarian warriors, 20 champions, 1 shamanka, 8 elders. Hidden within the village is a secret blood cult of 12 werewolves. Only the shamanka knows which of the warriors are the lycanthopes.",,
